"shapeName","shapeISO","shapeID","shapeGroup","shapeType","pre_mean","temp_mean","tempmax","tempmin"
"Rufunsa",NA,"96606910B83885559265483","ZMB","ADM2",801.655247514526,23.4188409942397,29.9582215966117,16.9458991555688
"Samfya",NA,"96606910B51649803270254","ZMB","ADM2",1077.24146372321,21.7931272168818,27.9788625949988,15.669912130466
"Senanga",NA,"96606910B84216604788069","ZMB","ADM2",775.41026193585,22.9661610638246,30.5732140434051,15.3992995478735
"Senga Hill",NA,"96606910B60229531220552","ZMB","ADM2",1038.99727812716,20.5899372128574,26.7529502042361,14.4788045861998
"Serenje",NA,"96606910B77122166525946","ZMB","ADM2",931.304527095075,22.031773886199,28.6571267680045,15.4733168987111
"Sesheke",NA,"96606910B16407097160512","ZMB","ADM2",652.880906641029,22.9582259497985,30.9330610169791,15.0509241949869
"Shangombo",NA,"96606910B19262681040951","ZMB","ADM2",657.633643419422,23.1072662340053,30.6647361717519,15.5910318245907
"Shibuyunji",NA,"96606910B97598096149790","ZMB","ADM2",811.513489614014,22.248780572328,29.3218286416093,15.2484604133572
"Shiwang'Andu",NA,"96606910B14962040673296","ZMB","ADM2",1124.09012449376,21.1328364275342,27.5783404404529,14.7450296696703
"Siavonga",NA,"96606910B78484131600253","ZMB","ADM2",603.306523901202,24.1836195699501,30.7601987704794,17.6823211344399
"Sikongo",NA,"96606910B5408602862486","ZMB","ADM2",902.662620359805,23.0155803743003,30.4602980893692,15.616968813455
"Sinazongwe",NA,"96606910B20600796740117","ZMB","ADM2",430.221056512454,23.5320251625083,30.1190200986878,17.0226108191082
"Sinda",NA,"96606910B72426001037260","ZMB","ADM2",1062.66690530765,23.1011916083943,29.1704083397822,17.0431291696806
"Sioma",NA,"96606910B11966717412590","ZMB","ADM2",668.636301214342,23.1481039971816,30.8621629889706,15.4777301091674
"Solwezi",NA,"96606910B85168359517007","ZMB","ADM2",1110.91663178764,20.4716994791406,28.1368176558489,12.8675543851366
"Vubwi",NA,"96606910B99969900210710","ZMB","ADM2",338.11131784413,22.1086808376842,28.1524309449726,16.1420141922103
"Zambezi",NA,"96606910B76619304368438","ZMB","ADM2",1070.6258233023,22.3663319102603,30.1444352257508,14.6358011752817
"Zimba",NA,"96606910B98197380388075","ZMB","ADM2",650.736557945349,22.5253880608888,29.7165876936152,15.4047410098205
